SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,NumberOfFailedParticles,RotationInDegreePerSecond,IsPouringFailed
SM_EspressoCup,SM_Cup,8.996733,10.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,9.989298,False
SM_EspressoCup,SM_Cup,8.993225,10.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,9.997023,False
SM_EspressoCup,SM_Cup,8.99946,10.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,9.981918,False
SM_EspressoCup,SM_Cup,8.995313,10.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,9.994303,False
SM_EspressoCup,SM_Cup,8.99255,10.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,9.999118,False
SM_EspressoCup,SM_Cup,9.239189,10.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,9.992776,False
SM_EspressoCup,SM_Cup,8.993095,10.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,9.997131,False
SM_EspressoCup,SM_Cup,8.999893,10.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,9.982677,False
SM_EspressoCup,SM_Cup,8.993612,10.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,9.985774,False
SM_EspressoCup,SM_Cup,8.997585,10.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,9.988701,False
SM_EspressoCup,SM_Cup,5.998875,15.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,14.988785,False
SM_EspressoCup,SM_Cup,5.996036,15.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,14.978837,False
SM_EspressoCup,SM_Cup,5.994466,15.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,14.964587,False
SM_EspressoCup,SM_Cup,6.409761,15.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,14.973563,False
SM_EspressoCup,SM_Cup,6.352765,15.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,14.991277,False
SM_EspressoCup,SM_Cup,5.999387,15.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,14.963781,False
SM_EspressoCup,SM_Cup,6.19564,15.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,14.988647,False
SM_EspressoCup,SM_Cup,5.992076,15.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,14.981271,False
SM_EspressoCup,SM_Cup,5.995179,15.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,14.97261,False
SM_EspressoCup,SM_Cup,5.995316,15.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,14.992565,False
SM_EspressoCup,SM_Cup,4.524027,20.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,19.956251,False
SM_EspressoCup,SM_Cup,4.89839,20.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,19.980782,False
SM_EspressoCup,SM_Cup,4.498115,20.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,19.968243,False
SM_EspressoCup,SM_Cup,5.044426,20.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,20.000059,False
SM_EspressoCup,SM_Cup,4.49956,20.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,19.936413,False
SM_EspressoCup,SM_Cup,4.49617,20.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,19.99807,False
SM_EspressoCup,SM_Cup,4.536259,20.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,19.976753,False
SM_EspressoCup,SM_Cup,4.492842,20.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,19.964521,False
SM_EspressoCup,SM_Cup,4.500432,20.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,19.911907,False
SM_EspressoCup,SM_Cup,4.49443,20.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,19.89854,False
SM_EspressoCup,SM_Cup,3.594436,25.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,24.928583,False
SM_EspressoCup,SM_Cup,3.637944,25.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,24.920712,False
SM_EspressoCup,SM_Cup,3.594586,25.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,24.88516,False
SM_EspressoCup,SM_Cup,3.594751,25.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,24.85675,False
SM_EspressoCup,SM_Cup,3.595791,25.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,24.716249,False
SM_EspressoCup,SM_Cup,3.595303,25.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,24.947155,False
SM_EspressoCup,SM_Cup,3.598101,25.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,24.924597,False
SM_EspressoCup,SM_Cup,3.614718,25.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,24.780163,False
SM_EspressoCup,SM_Cup,3.574331,25.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,25.228258,False
SM_EspressoCup,SM_Cup,3.593285,25.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,24.899664,False
SM_EspressoCup,SM_Cup,3.200587,30.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,29.817066,False
SM_EspressoCup,SM_Cup,3.001103,30.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,29.962704,False
SM_EspressoCup,SM_Cup,2.99378,30.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,29.825876,False
SM_EspressoCup,SM_Cup,2.990482,30.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,29.59824,False
SM_EspressoCup,SM_Cup,3.001713,30.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,29.804749,False
SM_EspressoCup,SM_Cup,2.991261,30.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,29.809942,False
SM_EspressoCup,SM_Cup,3.847921,30.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,29.969032,False
SM_EspressoCup,SM_Cup,3.409245,30.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,29.699659,False
SM_EspressoCup,SM_Cup,2.998626,30.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,29.800718,False
SM_EspressoCup,SM_Cup,2.997663,30.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,29.747847,False
SM_EspressoCup,SM_Cup,2.568348,35.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,34.917175,False
SM_EspressoCup,SM_Cup,3.462579,35.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,34.858646,False
SM_EspressoCup,SM_Cup,2.574056,35.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,34.84903,False
SM_EspressoCup,SM_Cup,2.563125,35.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,34.922108,False
SM_EspressoCup,SM_Cup,3.10548,35.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,34.635384,False
SM_EspressoCup,SM_Cup,2.567804,35.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,35.035114,False
SM_EspressoCup,SM_Cup,2.571028,35.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,34.96867,False
SM_EspressoCup,SM_Cup,2.658209,35.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,34.844296,False
SM_EspressoCup,SM_Cup,2.566658,35.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,34.844864,False
SM_EspressoCup,SM_Cup,2.566423,35.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,34.846249,False
SM_EspressoCup,SM_Cup,2.953663,40.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,39.802475,False
SM_EspressoCup,SM_Cup,2.863906,40.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,39.804325,False
SM_EspressoCup,SM_Cup,2.359021,40.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,39.985603,False
SM_EspressoCup,SM_Cup,2.625735,40.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,40.576645,False
SM_EspressoCup,SM_Cup,2.245162,40.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,39.877251,False
SM_EspressoCup,SM_Cup,2.246615,40.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,39.82584,False
SM_EspressoCup,SM_Cup,3.053567,40.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,39.887554,False
SM_EspressoCup,SM_Cup,2.435268,40.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,39.933105,False
SM_EspressoCup,SM_Cup,2.245667,40.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,39.859764,False
SM_EspressoCup,SM_Cup,2.77249,40.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,39.795494,False
SM_EspressoCup,SM_Cup,1.997839,45.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,44.724972,False
SM_EspressoCup,SM_Cup,2.139928,45.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,44.742992,False
SM_EspressoCup,SM_Cup,2.075216,45.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,44.991501,False
SM_EspressoCup,SM_Cup,1.997012,45.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,44.779858,False
SM_EspressoCup,SM_Cup,2.356175,45.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,44.726002,False
SM_EspressoCup,SM_Cup,2.518725,45.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,44.685154,False
SM_EspressoCup,SM_Cup,2.335282,45.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,44.915379,False
SM_EspressoCup,SM_Cup,1.993358,45.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,44.945538,False
SM_EspressoCup,SM_Cup,2.4463,45.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,44.765377,False
SM_EspressoCup,SM_Cup,1.994656,45.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,44.995281,False
SM_EspressoCup,SM_Cup,2.796195,50.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,49.753532,False
SM_EspressoCup,SM_Cup,1.792435,50.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,49.961163,False
SM_EspressoCup,SM_Cup,1.79416,50.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,49.863686,False
SM_EspressoCup,SM_Cup,2.156943,50.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,49.620399,False
SM_EspressoCup,SM_Cup,2.243297,50.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,49.912079,False
SM_EspressoCup,SM_Cup,1.797605,50.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,49.579056,False
SM_EspressoCup,SM_Cup,1.89789,50.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,49.718616,False
SM_EspressoCup,SM_Cup,2.440226,50.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,49.650608,False
SM_EspressoCup,SM_Cup,1.968253,50.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,49.976757,False
SM_EspressoCup,SM_Cup,2.525261,50.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,49.585571,False
SM_EspressoCup,SM_Cup,1.63121,55.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,54.700302,False
SM_EspressoCup,SM_Cup,2.275851,55.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,54.564972,False
SM_EspressoCup,SM_Cup,2.609881,55.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,54.446281,False
SM_EspressoCup,SM_Cup,1.96697,55.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,54.474854,False
SM_EspressoCup,SM_Cup,2.098975,55.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,54.615536,False
SM_EspressoCup,SM_Cup,1.635024,55.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,54.990765,False
SM_EspressoCup,SM_Cup,2.331592,55.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,54.66386,False
SM_EspressoCup,SM_Cup,1.688483,55.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,54.792309,False
SM_EspressoCup,SM_Cup,1.63439,55.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,54.773537,False
SM_EspressoCup,SM_Cup,1.811698,55.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,54.87764,False
SM_EspressoCup,SM_Cup,2.285671,60.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,59.954357,False
SM_EspressoCup,SM_Cup,1.659018,60.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,59.980942,False
SM_EspressoCup,SM_Cup,1.608845,60.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,59.961369,False
SM_EspressoCup,SM_Cup,1.650813,60.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,59.953827,False
SM_EspressoCup,SM_Cup,1.925326,60.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,59.35371,False
SM_EspressoCup,SM_Cup,1.913685,60.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,59.59016,False
SM_EspressoCup,SM_Cup,1.493713,60.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,59.884693,False
SM_EspressoCup,SM_Cup,1.644794,60.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,59.865112,False
SM_EspressoCup,SM_Cup,2.32767,60.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,59.793419,False
SM_EspressoCup,SM_Cup,1.939068,60.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,59.552307,False
SM_EspressoCup,SM_Cup,1.755563,65.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,62.311005,False
SM_EspressoCup,SM_Cup,1.841185,65.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,64.33654,False
SM_EspressoCup,SM_Cup,1.747196,65.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,64.274681,False
SM_EspressoCup,SM_Cup,1.544959,65.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,64.990433,False
SM_EspressoCup,SM_Cup,1.649869,65.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,64.303383,False
SM_EspressoCup,SM_Cup,1.778269,65.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,64.482262,False
SM_EspressoCup,SM_Cup,2.009082,65.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,64.993935,False
SM_EspressoCup,SM_Cup,1.378154,65.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,64.840996,False
SM_EspressoCup,SM_Cup,1.377574,65.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,64.911766,False
SM_EspressoCup,SM_Cup,2.446592,65.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,64.608871,False
SM_EspressoCup,SM_Cup,1.487547,70.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,69.674507,False
SM_EspressoCup,SM_Cup,1.278945,70.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,69.784195,False
SM_EspressoCup,SM_Cup,1.44065,70.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,69.625717,False
SM_EspressoCup,SM_Cup,2.117255,70.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,69.172028,False
SM_EspressoCup,SM_Cup,1.667851,70.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,69.110756,False
SM_EspressoCup,SM_Cup,1.285105,70.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,69.117844,False
SM_EspressoCup,SM_Cup,1.640934,70.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,69.284035,False
SM_EspressoCup,SM_Cup,1.615534,70.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,69.354103,False
SM_EspressoCup,SM_Cup,1.360956,70.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,69.849236,False
SM_EspressoCup,SM_Cup,1.752589,70.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,69.869629,False
SM_EspressoCup,SM_Cup,1.196341,75.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,74.622154,False
SM_EspressoCup,SM_Cup,1.366012,75.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,74.062042,False
SM_EspressoCup,SM_Cup,1.699534,75.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,74.158882,False
SM_EspressoCup,SM_Cup,1.468871,75.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,74.740234,False
SM_EspressoCup,SM_Cup,1.199476,75.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,74.237625,False
SM_EspressoCup,SM_Cup,1.832558,75.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,74.081039,False
SM_EspressoCup,SM_Cup,1.195752,75.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,74.569244,False
SM_EspressoCup,SM_Cup,2.089984,75.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,74.945442,False
SM_EspressoCup,SM_Cup,1.199844,75.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,73.993355,False
SM_EspressoCup,SM_Cup,1.862575,75.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,74.51133,False
SM_EspressoCup,SM_Cup,1.289399,80.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,79.272194,False
SM_EspressoCup,SM_Cup,1.229798,80.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,78.900124,False
SM_EspressoCup,SM_Cup,1.32612,80.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,79.362617,False
SM_EspressoCup,SM_Cup,1.519262,80.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,79.055244,False
SM_EspressoCup,SM_Cup,1.166757,80.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,79.401306,False
SM_EspressoCup,SM_Cup,1.380736,80.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,78.638039,False
SM_EspressoCup,SM_Cup,1.188968,80.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,79.837601,False
SM_EspressoCup,SM_Cup,1.747886,80.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,79.785858,False
SM_EspressoCup,SM_Cup,1.797999,80.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,79.729584,False
SM_EspressoCup,SM_Cup,1.739778,80.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,79.750824,False
SM_EspressoCup,SM_Cup,1.054569,85.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,84.319237,False
SM_EspressoCup,SM_Cup,2.364223,85.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,84.870499,False
SM_EspressoCup,SM_Cup,1.051212,85.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,84.187622,False
SM_EspressoCup,SM_Cup,1.293188,85.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,84.273529,False
SM_EspressoCup,SM_Cup,1.325179,85.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,84.350052,False
SM_EspressoCup,SM_Cup,1.25376,85.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,83.789627,False
SM_EspressoCup,SM_Cup,1.36817,85.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,84.210258,False
SM_EspressoCup,SM_Cup,1.050856,85.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,84.248932,False
SM_EspressoCup,SM_Cup,1.055391,85.0,90.0,0.4,-5.554459,57.0,0.4,0.04,47.5,15,0,84.848091,False
